order_id,transaction_date,transaction_time,day_of_week,month,order_type,payment_method,item_id,item_name,category,subcategory,quantity,unit_price,food_cost_per_unit,line_revenue,line_food_cost,line_contribution_margin
ORD05000,2024-01-01,20:31:12,Monday,1,Dine-In,Card,ITM061,Shahi Paneer,Main Course,North Indian,1,340,95,340,95,245
ORD05000,2024-01-01,20:31:12,Monday,1,Dine-In,Card,ITM047,Mushroom Alfredo Pizza,Main Course,Italian,2,390,120,780,240,540
ORD05000,2024-01-01,20:31:12,Monday,1,Dine-In,Card,ITM100,Hot Chocolate,Hot Beverages,Western,2,160,55,320,110,210
ORD05001,2024-01-01,14:26:46,Monday,1,Dine-In,Wallet,ITM099,Latte,Hot Beverages,Western,1,150,50,150,50,100
ORD05001,2024-01-01,14:26:46,Monday,1,Dine-In,Wallet,ITM073,Chilli Potato,Starter,Asian,2,210,60,420,120,300
ORD05002,2024-01-01,12:39:37,Monday,1,Takeaway,UPI,ITM090,Boondi Raita,Sides,Indian,1,100,25,100,25,75
ORD05002,2024-01-01,12:39:37,Monday,1,Takeaway,UPI,ITM056,Bean Burrito,Main Course,Mexican,1,270,80,270,80,190
ORD05002,2024-01-01,12:39:37,Monday,1,Takeaway,UPI,ITM079,Lemon Iced Tea,Cold Beverages,Western,1,130,35,130,35,95
ORD05002,2024-01-01,12:39:37,Monday,1,Takeaway,UPI,ITM050,Baked Mac & Cheese,Main Course,Italian,1,330,95,330,95,235
ORD05003,2024-01-01,15:13:50,Monday,1,Dine-In,UPI,ITM095,Ice Cream Sundae,Desserts,Western,1,160,50,160,50,110
ORD05004,2024-01-01,12:57:50,Monday,1,Delivery,Cash,ITM073,Chilli Potato,Starter,Asian,1,210,60,210,60,150
ORD05005,2024-01-01,20:23:52,Monday,1,Delivery,UPI,ITM070,Onion Uttapam,Main Course,South Indian,2,190,42,380,84,296
ORD05005,2024-01-01,20:23:52,Monday,1,Delivery,UPI,ITM059,Mexican Nachos,Starter,Mexican,2,220,65,440,130,310
ORD05005,2024-01-01,20:23:52,Monday,1,Delivery,UPI,ITM075,Veg Momos,Starter,Asian,2,200,55,400,110,290
ORD05005,2024-01-01,20:23:52,Monday,1,Delivery,UPI,ITM065,Butter Naan,Sides,North Indian,1,60,14,60,14,46
ORD05005,2024-01-01,20:23:52,Monday,1,Delivery,UPI,ITM055,Falafel Wrap,Main Course,Fast Food,1,190,55,190,55,135
ORD05006,2024-01-01,20:24:55,Monday,1,Dine-In,UPI,ITM100,Hot Chocolate,Hot Beverages,Western,1,160,55,160,55,105
ORD05006,2024-01-01,20:24:55,Monday,1,Dine-In,UPI,ITM083,Badam Milk,Cold Beverages,Indian,1,150,40,150,40,110
ORD05006,2024-01-01,20:24:55,Monday,1,Dine-In,UPI,ITM079,Lemon Iced Tea,Cold Beverages,Western,1,130,35,130,35,95
ORD05007,2024-01-01,13:43:13,Monday,1,Delivery,Wallet,ITM062,Rajma Masala,Main Course,North Indian,1,230,55,230,55,175
ORD05008,2024-01-01,20:09:29,Monday,1,Takeaway,Card,ITM053,Loaded Cheese Fries,Sides,Fast Food,2,160,45,320,90,230
ORD05008,2024-01-01,20:09:29,Monday,1,Takeaway,Card,ITM070,Onion Uttapam,Main Course,South Indian,2,190,42,380,84,296
ORD05008,2024-01-01,20:09:29,Monday,1,Takeaway,Card,ITM074,Crispy Corn,Starter,Asian,1,220,62,220,62,158
ORD05008,2024-01-01,20:09:29,Monday,1,Takeaway,Card,ITM073,Chilli Potato,Starter,Asian,1,210,60,210,60,150
ORD05009,2024-01-01,18:42:11,Monday,1,Dine-In,Card,ITM082,Rose Milk,Cold Beverages,Indian,1,120,30,120,30,90
ORD05009,2024-01-01,18:42:11,Monday,1,Dine-In,Card,ITM064,Jeera Rice,Main Course,North Indian,1,200,50,200,50,150
ORD05009,2024-01-01,18:42:11,Monday,1,Dine-In,Card,ITM051,Paneer Burger,Main Course,Fast Food,1,200,55,200,55,145
ORD05010,2024-01-01,17:54:36,Monday,1,Dine-In,Card,ITM087,Minestrone Soup,Starter,Italian,1,160,45,160,45,115
ORD05010,2024-01-01,17:54:36,Monday,1,Dine-In,Card,ITM089,Masala Papad,Sides,Indian,3,60,10,180,30,150
ORD05010,2024-01-01,17:54:36,Monday,1,Dine-In,Card,ITM073,Chilli Potato,Starter,Asian,1,210,60,210,60,150
ORD05011,2024-01-01,14:21:05,Monday,1,Dine-In,Cash,ITM070,Onion Uttapam,Main Course,South Indian,2,190,42,380,84,296
ORD05011,2024-01-01,14:21:05,Monday,1,Dine-In,Cash,ITM068,Curd Rice,Main Course,South Indian,2,160,35,320,70,250
ORD05011,2024-01-01,14:21:05,Monday,1,Dine-In,Cash,ITM063,Kadhi Pakora,Main Course,North Indian,1,220,50,220,50,170
ORD05011,2024-01-01,14:21:05,Monday,1,Dine-In,Cash,ITM049,Risotto Primavera,Main Course,Italian,2,360,105,720,210,510
ORD05012,2024-01-01,12:45:33,Monday,1,Dine-In,Card,ITM073,Chilli Potato,Starter,Asian,1,210,60,210,60,150
ORD05012,2024-01-01,12:45:33,Monday,1,Dine-In,Card,ITM088,Garlic Breadsticks,Starter,Italian,1,170,50,170,50,120
ORD05012,2024-01-01,12:45:33,Monday,1,Dine-In,Card,ITM075,Veg Momos,Starter,Asian,1,200,55,200,55,145
ORD05013,2024-01-01,14:43:49,Monday,1,Takeaway,Cash,ITM083,Badam Milk,Cold Beverages,Indian,1,150,40,150,40,110
ORD05013,2024-01-01,14:43:49,Monday,1,Takeaway,Cash,ITM049,Risotto Primavera,Main Course,Italian,3,360,105,1080,315,765
ORD05013,2024-01-01,14:43:49,Monday,1,Takeaway,Cash,ITM056,Bean Burrito,Main Course,Mexican,1,270,80,270,80,190
ORD05014,2024-01-01,12:05:30,Monday,1,Takeaway,Card,ITM055,Falafel Wrap,Main Course,Fast Food,1,190,55,190,55,135
ORD05014,2024-01-01,12:05:30,Monday,1,Takeaway,Card,ITM098,Cappuccino,Hot Beverages,Western,1,140,45,140,45,95
ORD05014,2024-01-01,12:05:30,Monday,1,Takeaway,Card,ITM057,Mexican Veg Rice,Main Course,Mexican,2,250,70,500,140,360
ORD05014,2024-01-01,12:05:30,Monday,1,Takeaway,Card,ITM053,Loaded Cheese Fries,Sides,Fast Food,1,160,45,160,45,115
ORD05015,2024-01-01,11:20:25,Monday,1,Delivery,Wallet,ITM090,Boondi Raita,Sides,Indian,1,100,25,100,25,75
ORD05015,2024-01-01,11:20:25,Monday,1,Delivery,Wallet,ITM097,Filter Coffee,Hot Beverages,Indian,1,80,20,80,20,60
ORD05015,2024-01-01,11:20:25,Monday,1,Delivery,Wallet,ITM067,Set Dosa,Main Course,South Indian,1,170,38,170,38,132
ORD05015,2024-01-01,11:20:25,Monday,1,Delivery,Wallet,ITM062,Rajma Masala,Main Course,North Indian,1,230,55,230,55,175
ORD05016,2024-01-01,19:02:17,Monday,1,Dine-In,UPI,ITM098,Cappuccino,Hot Beverages,Western,1,140,45,140,45,95
ORD05016,2024-01-01,19:02:17,Monday,1,Dine-In,UPI,ITM085,Aam Panna,Cold Beverages,Indian,1,130,35,130,35,95
ORD05016,2024-01-01,19:02:17,Monday,1,Dine-In,UPI,ITM053,Loaded Cheese Fries,Sides,Fast Food,1,160,45,160,45,115
ORD05017,2024-01-01,19:35:00,Monday,1,Dine-In,UPI,ITM053,Loaded Cheese Fries,Sides,Fast Food,1,160,45,160,45,115
ORD05017,2024-01-01,19:35:00,Monday,1,Dine-In,UPI,ITM054,Potato Wedges,Sides,Fast Food,2,140,38,280,76,204
ORD05017,2024-01-01,19:35:00,Monday,1,Dine-In,UPI,ITM068,Curd Rice,Main Course,South Indian,1,160,35,160,35,125
ORD05018,2024-01-01,14:27:13,Monday,1,Delivery,UPI,ITM046,BBQ Veg Pizza,Main Course,Italian,1,350,100,350,100,250
ORD05018,2024-01-01,14:27:13,Monday,1,Delivery,UPI,ITM097,Filter Coffee,Hot Beverages,Indian,1,80,20,80,20,60
ORD05018,2024-01-01,14:27:13,Monday,1,Delivery,UPI,ITM051,Paneer Burger,Main Course,Fast Food,2,200,55,400,110,290
ORD05019,2024-01-01,14:23:59,Monday,1,Dine-In,Card,ITM069,Sambar Vada,Starter,South Indian,1,150,32,150,32,118
ORD05019,2024-01-01,14:23:59,Monday,1,Dine-In,Card,ITM061,Shahi Paneer,Main Course,North Indian,1,340,95,340,95,245
ORD05019,2024-01-01,14:23:59,Monday,1,Dine-In,Card,ITM064,Jeera Rice,Main Course,North Indian,2,200,50,400,100,300
ORD05020,2024-01-01,19:34:05,Monday,1,Takeaway,Wallet,ITM097,Filter Coffee,Hot Beverages,Indian,1,80,20,80,20,60
ORD05020,2024-01-01,19:34:05,Monday,1,Takeaway,Wallet,ITM047,Mushroom Alfredo Pizza,Main Course,Italian,1,390,120,390,120,270
ORD05020,2024-01-01,19:34:05,Monday,1,Takeaway,Wallet,ITM066,Rava Dosa,Main Course,South Indian,3,190,42,570,126,444
ORD05020,2024-01-01,19:34:05,Monday,1,Takeaway,Wallet,ITM076,Iced Tea,Cold Beverages,Western,1,120,35,120,35,85
ORD05021,2024-01-01,13:29:33,Monday,1,Delivery,UPI,ITM093,Brownie with Ice Cream,Desserts,Western,1,180,60,180,60,120
ORD05021,2024-01-01,13:29:33,Monday,1,Delivery,UPI,ITM047,Mushroom Alfredo Pizza,Main Course,Italian,3,390,120,1170,360,810
