order_id,transaction_date,transaction_time,day_of_week,month,order_type,payment_method,item_id,item_name,category,subcategory,quantity,unit_price,food_cost_per_unit,line_revenue,line_food_cost,line_contribution_margin
ORD01000,2024-01-01,19:40:07,Monday,1,Takeaway,UPI,ITM003,Penne Arrabiata,Italian,Pasta,1,300,80,300,80,220
ORD01000,2024-01-01,19:40:07,Monday,1,Takeaway,UPI,ITM039,Fresh Lime Soda,Beverages,Cooler,1,100,20,100,20,80
ORD01001,2024-01-01,09:01:47,Monday,1,Delivery,Card,ITM008,French Fries,Fast Food,Sides,1,120,30,120,30,90
ORD01001,2024-01-01,09:01:47,Monday,1,Delivery,Card,ITM014,Mexican Hotpot,Mexican,Hotpot,1,300,95,300,95,205
ORD01002,2024-01-01,13:17:15,Monday,1,Takeaway,UPI,ITM016,Paneer Butter Masala,North Indian,Curry,2,320,85,640,170,470
ORD01002,2024-01-01,13:17:15,Monday,1,Takeaway,UPI,ITM020,Garlic Naan,North Indian,Bread,1,70,15,70,15,55
ORD01003,2024-01-01,16:14:08,Monday,1,Takeaway,UPI,ITM007,Cheese Burger,Fast Food,Burger,3,210,60,630,180,450
ORD01003,2024-01-01,16:14:08,Monday,1,Takeaway,UPI,ITM003,Penne Arrabiata,Italian,Pasta,2,300,80,600,160,440
ORD01003,2024-01-01,16:14:08,Monday,1,Takeaway,UPI,ITM043,Cheese Garlic Bread,Sides,Bread,1,180,55,180,55,125
ORD01004,2024-01-01,11:47:06,Monday,1,Takeaway,UPI,ITM022,Plain Dosa,South Indian,Dosa,2,160,35,320,70,250
ORD01004,2024-01-01,11:47:06,Monday,1,Takeaway,UPI,ITM002,Farmhouse Pizza,Italian,Pizza,1,380,110,380,110,270
ORD01005,2024-01-01,19:43:47,Monday,1,Dine-In,Cash,ITM008,French Fries,Fast Food,Sides,2,120,30,240,60,180
ORD01005,2024-01-01,19:43:47,Monday,1,Dine-In,Cash,ITM044,Papad,Sides,Accompaniment,2,40,6,80,12,68
ORD01005,2024-01-01,19:43:47,Monday,1,Dine-In,Cash,ITM034,Mojito,Beverages,Mocktail,1,150,40,150,40,110
ORD01006,2024-01-01,21:57:34,Monday,1,Dine-In,UPI,ITM014,Mexican Hotpot,Mexican,Hotpot,1,300,95,300,95,205
ORD01007,2024-01-01,13:05:37,Monday,1,Delivery,UPI,ITM024,Medu Vada,South Indian,Vada,2,140,28,280,56,224
ORD01007,2024-01-01,13:05:37,Monday,1,Delivery,UPI,ITM006,Veggie Burger,Fast Food,Burger,1,180,45,180,45,135
ORD01008,2024-01-01,22:27:02,Monday,1,Delivery,UPI,ITM036,Buttermilk,Beverages,Indian Drink,1,80,18,80,18,62
ORD01009,2024-01-01,19:01:05,Monday,1,Delivery,UPI,ITM005,Veg Lasagna,Italian,Baked Pasta,1,360,105,360,105,255
ORD01009,2024-01-01,19:01:05,Monday,1,Delivery,UPI,ITM039,Fresh Lime Soda,Beverages,Cooler,1,100,20,100,20,80
ORD01010,2024-01-01,10:13:14,Monday,1,Dine-In,UPI,ITM028,Gobi Manchurian,Asian,Starter,1,240,70,240,70,170
ORD01010,2024-01-01,10:13:14,Monday,1,Dine-In,UPI,ITM040,Masala Lemonade,Beverages,Cooler,1,110,25,110,25,85
ORD01010,2024-01-01,10:13:14,Monday,1,Dine-In,UPI,ITM021,Masala Dosa,South Indian,Dosa,2,200,45,400,90,310
ORD01011,2024-01-01,18:32:38,Monday,1,Delivery,Cash,ITM019,Veg Pulao,North Indian,Rice,1,210,55,210,55,155
ORD01011,2024-01-01,18:32:38,Monday,1,Delivery,Cash,ITM001,Margherita Pizza,Italian,Pizza,1,320,90,320,90,230
ORD01011,2024-01-01,18:32:38,Monday,1,Delivery,Cash,ITM005,Veg Lasagna,Italian,Baked Pasta,1,360,105,360,105,255
ORD01012,2024-01-01,16:01:35,Monday,1,Delivery,UPI,ITM033,Sprite,Beverages,Soft Drink,1,90,25,90,25,65
ORD01012,2024-01-01,16:01:35,Monday,1,Delivery,UPI,ITM009,Peri Peri Fries,Fast Food,Sides,1,140,35,140,35,105
ORD01012,2024-01-01,16:01:35,Monday,1,Delivery,UPI,ITM003,Penne Arrabiata,Italian,Pasta,2,300,80,600,160,440
ORD01013,2024-01-01,20:12:45,Monday,1,Takeaway,Card,ITM008,French Fries,Fast Food,Sides,2,120,30,240,60,180
ORD01013,2024-01-01,20:12:45,Monday,1,Takeaway,Card,ITM040,Masala Lemonade,Beverages,Cooler,1,110,25,110,25,85
ORD01013,2024-01-01,20:12:45,Monday,1,Takeaway,Card,ITM024,Medu Vada,South Indian,Vada,1,140,28,140,28,112
ORD01013,2024-01-01,20:12:45,Monday,1,Takeaway,Card,ITM036,Buttermilk,Beverages,Indian Drink,1,80,18,80,18,62
ORD01014,2024-01-01,14:41:44,Monday,1,Delivery,Card,ITM022,Plain Dosa,South Indian,Dosa,1,160,35,160,35,125
ORD01015,2024-01-01,12:34:26,Monday,1,Dine-In,UPI,ITM014,Mexican Hotpot,Mexican,Hotpot,3,300,95,900,285,615
ORD01015,2024-01-01,12:34:26,Monday,1,Dine-In,UPI,ITM023,Idli Sambar,South Indian,Idli,1,150,30,150,30,120
ORD01015,2024-01-01,12:34:26,Monday,1,Dine-In,UPI,ITM031,Coca Cola,Beverages,Soft Drink,1,90,25,90,25,65
ORD01015,2024-01-01,12:34:26,Monday,1,Dine-In,UPI,ITM016,Paneer Butter Masala,North Indian,Curry,1,320,85,320,85,235
ORD01015,2024-01-01,12:34:26,Monday,1,Dine-In,UPI,ITM044,Papad,Sides,Accompaniment,1,40,6,40,6,34
ORD01016,2024-01-01,10:14:28,Monday,1,Takeaway,Cash,ITM012,Chipotle Veg Bowl,Mexican,Rice Bowl,2,280,85,560,170,390
ORD01017,2024-01-01,12:37:17,Monday,1,Dine-In,Cash,ITM010,Veg Wrap,Fast Food,Wrap,1,160,40,160,40,120
ORD01017,2024-01-01,12:37:17,Monday,1,Dine-In,Cash,ITM030,Spring Rolls,Asian,Starter,1,200,55,200,55,145
ORD01017,2024-01-01,12:37:17,Monday,1,Dine-In,Cash,ITM034,Mojito,Beverages,Mocktail,1,150,40,150,40,110
ORD01017,2024-01-01,12:37:17,Monday,1,Dine-In,Cash,ITM032,Pepsi,Beverages,Soft Drink,1,90,25,90,25,65
ORD01017,2024-01-01,12:37:17,Monday,1,Dine-In,Cash,ITM016,Paneer Butter Masala,North Indian,Curry,2,320,85,640,170,470
ORD01018,2024-01-01,13:51:55,Monday,1,Dine-In,UPI,ITM030,Spring Rolls,Asian,Starter,1,200,55,200,55,145
ORD01018,2024-01-01,13:51:55,Monday,1,Dine-In,UPI,ITM001,Margherita Pizza,Italian,Pizza,1,320,90,320,90,230
ORD01018,2024-01-01,13:51:55,Monday,1,Dine-In,UPI,ITM022,Plain Dosa,South Indian,Dosa,1,160,35,160,35,125
ORD01019,2024-01-01,19:00:48,Monday,1,Dine-In,Wallet,ITM015,Veg Tacos,Mexican,Tacos,2,220,65,440,130,310
ORD01019,2024-01-01,19:00:48,Monday,1,Dine-In,Wallet,ITM005,Veg Lasagna,Italian,Baked Pasta,2,360,105,720,210,510
ORD01020,2024-01-01,13:51:10,Monday,1,Takeaway,Card,ITM023,Idli Sambar,South Indian,Idli,2,150,30,300,60,240
ORD01020,2024-01-01,13:51:10,Monday,1,Takeaway,Card,ITM010,Veg Wrap,Fast Food,Wrap,2,160,40,320,80,240
ORD01020,2024-01-01,13:51:10,Monday,1,Takeaway,Card,ITM004,Alfredo Pasta,Italian,Pasta,1,340,95,340,95,245
ORD01021,2024-01-01,13:44:27,Monday,1,Dine-In,Card,ITM040,Masala Lemonade,Beverages,Cooler,1,110,25,110,25,85
ORD01021,2024-01-01,13:44:27,Monday,1,Dine-In,Card,ITM034,Mojito,Beverages,Mocktail,2,150,40,300,80,220
ORD01021,2024-01-01,13:44:27,Monday,1,Dine-In,Card,ITM029,Paneer Chilli Dry,Asian,Starter,1,260,80,260,80,180
ORD01021,2024-01-01,13:44:27,Monday,1,Dine-In,Card,ITM004,Alfredo Pasta,Italian,Pasta,1,340,95,340,95,245
ORD01022,2024-01-01,11:21:17,Monday,1,Takeaway,UPI,ITM024,Medu Vada,South Indian,Vada,1,140,28,140,28,112
ORD01022,2024-01-01,11:21:17,Monday,1,Takeaway,UPI,ITM031,Coca Cola,Beverages,Soft Drink,1,90,25,90,25,65
ORD01023,2024-01-01,19:09:13,Monday,1,Dine-In,UPI,ITM029,Paneer Chilli Dry,Asian,Starter,1,260,80,260,80,180
ORD01023,2024-01-01,19:09:13,Monday,1,Dine-In,UPI,ITM038,Mango Lassi,Beverages,Lassi,1,140,35,140,35,105
ORD01023,2024-01-01,19:09:13,Monday,1,Dine-In,UPI,ITM024,Medu Vada,South Indian,Vada,1,140,28,140,28,112
ORD01024,2024-01-01,13:48:21,Monday,1,Delivery,UPI,ITM028,Gobi Manchurian,Asian,Starter,1,240,70,240,70,170
ORD01024,2024-01-01,13:48:21,Monday,1,Delivery,UPI,ITM035,Virgin Mojito,Beverages,Mocktail,1,150,40,150,40,110
ORD01024,2024-01-01,13:48:21,Monday,1,Delivery,UPI,ITM022,Plain Dosa,South Indian,Dosa,2,160,35,320,70,250
ORD01024,2024-01-01,13:48:21,Monday,1,Delivery,UPI,ITM026,Veg Hakka Noodles,Asian,Noodles,1,230,65,230,65,165
ORD01025,2024-01-01,09:06:05,Monday,1,Takeaway,UPI,ITM044,Papad,Sides,Accompaniment,1,40,6,40,6,34
ORD01025,2024-01-01,09:06:05,Monday,1,Takeaway,UPI,ITM042,Onion Rings,Sides,Fried,3,150,45,450,135,315
ORD01025,2024-01-01,09:06:05,Monday,1,Takeaway,UPI,ITM016,Paneer Butter Masala,North Indian,Curry,3,320,85,960,255,705
ORD01025,2024-01-01,09:06:05,Monday,1,Takeaway,UPI,ITM001,Margherita Pizza,Italian,Pizza,2,320,90,640,180,460
ORD01025,2024-01-01,09:06:05,Monday,1,Takeaway,UPI,ITM043,Cheese Garlic Bread,Sides,Bread,1,180,55,180,55,125
ORD01026,2024-01-01,14:24:06,Monday,1,Delivery,UPI,ITM024,Medu Vada,South Indian,Vada,1,140,28,140,28,112
ORD01026,2024-01-01,14:24:06,Monday,1,Delivery,UPI,ITM043,Cheese Garlic Bread,Sides,Bread,1,180,55,180,55,125
ORD01027,2024-01-01,11:22:54,Monday,1,Takeaway,Wallet,ITM023,Idli Sambar,South Indian,Idli,2,150,30,300,60,240
ORD01027,2024-01-01,11:22:54,Monday,1,Takeaway,Wallet,ITM040,Masala Lemonade,Beverages,Cooler,1,110,25,110,25,85
ORD01028,2024-01-01,19:22:38,Monday,1,Dine-In,UPI,ITM036,Buttermilk,Beverages,Indian Drink,1,80,18,80,18,62
ORD01028,2024-01-01,19:22:38,Monday,1,Dine-In,UPI,ITM039,Fresh Lime Soda,Beverages,Cooler,2,100,20,200,40,160
ORD01028,2024-01-01,19:22:38,Monday,1,Dine-In,UPI,ITM042,Onion Rings,Sides,Fried,1,150,45,150,45,105
ORD01028,2024-01-01,19:22:38,Monday,1,Dine-In,UPI,ITM022,Plain Dosa,South Indian,Dosa,1,160,35,160,35,125
ORD01029,2024-01-01,20:16:51,Monday,1,Delivery,UPI,ITM004,Alfredo Pasta,Italian,Pasta,1,340,95,340,95,245
ORD01029,2024-01-01,20:16:51,Monday,1,Delivery,UPI,ITM026,Veg Hakka Noodles,Asian,Noodles,1,230,65,230,65,165
ORD01030,2024-01-02,17:02:46,Tuesday,1,Dine-In,Cash,ITM002,Farmhouse Pizza,Italian,Pizza,2,380,110,760,220,540
ORD01031,2024-01-02,14:29:34,Tuesday,1,Dine-In,Cash,ITM009,Peri Peri Fries,Fast Food,Sides,1,140,35,140,35,105
ORD01031,2024-01-02,14:29:34,Tuesday,1,Dine-In,Cash,ITM028,Gobi Manchurian,Asian,Starter,1,240,70,240,70,170
ORD01031,2024-01-02,14:29:34,Tuesday,1,Dine-In,Cash,ITM004,Alfredo Pasta,Italian,Pasta,1,340,95,340,95,245
ORD01031,2024-01-02,14:29:34,Tuesday,1,Dine-In,Cash,ITM002,Farmhouse Pizza,Italian,Pizza,2,380,110,760,220,540
ORD01032,2024-01-02,22:07:59,Tuesday,1,Takeaway,UPI,ITM011,Mexican Burrito,Mexican,Burrito,3,260,75,780,225,555
ORD01032,2024-01-02,22:07:59,Tuesday,1,Takeaway,UPI,ITM020,Garlic Naan,North Indian,Bread,2,70,15,140,30,110
ORD01032,2024-01-02,22:07:59,Tuesday,1,Takeaway,UPI,ITM003,Penne Arrabiata,Italian,Pasta,1,300,80,300,80,220
ORD01032,2024-01-02,22:07:59,Tuesday,1,Takeaway,UPI,ITM001,Margherita Pizza,Italian,Pizza,1,320,90,320,90,230
ORD01033,2024-01-02,12:24:05,Tuesday,1,Dine-In,UPI,ITM032,Pepsi,Beverages,Soft Drink,3,90,25,270,75,195
